Tiempo,Voltaje,Corriente,Diferencia Corriente
177,-34.435383,-2.54685E-05,0.000002
177.5,-31.161567,-2.42028E-05,0.000004
178,-27.88773,-2.25315E-05,0.000001
178.5,-24.613922,-2.07972E-05,0.000001
179,-21.340087,-1.89883E-05,0.000002
179.5,-18.066263,-1.71632E-05,0.000002
180,-14.792445,-1.55338E-05,0.000002
180.5,-11.518613,-1.35967E-05,0.000001
181,-8.244794,-1.16737E-05,0.000003
181.5,-4.970973,-9.61772E-06,0.000003
182,-1.697136,-6.67599E-06,0.000003
182.5,1.576667,-9.81352E-07,0.000004
183,4.850511,8.81352E-06,0.000007
183.5,8.12433,2.23823E-05,0.000012
184,11.398149,4.09883E-05,0.000019
184.5,14.671975,6.3028E-05,0.000027
185,17.945799,8.80606E-05,0.000026
185.5,21.219625,0.000112965,0.000023
186,24.493444,0.00013558,0.000027
186.5,27.767273,0.000155587,0.000017
187,31.041081,0.00017359,0.00002
187.5,34.314929,0.000188874,0.000009
188,37.588745,0.000203662,0.000014
188.5,40.862579,0.000218245,0.000019
189,44.136387,0.000233573,0.000016
189.5,47.410201,0.000248452,0.000009
190,50.684048,0.00026334,0.000023
190.5,53.957856,0.000279124,0.000014
191,57.231696,0.000294427,0.000011
191.5,60.505509,0.000308841,0.000012
192,63.779328,0.000321347,0.000015
192.5,67.053165,0.000330063,0.000021
193.5,-36.399189,-2.56643E-05,-0.00014
194,-33.125362,-2.43263E-05,0.000003
194.5,-29.851552,-2.27483E-05,0.000002
195,-26.577715,-2.09767E-05,0.000001
195.5,-23.303904,-1.91049E-05,0.000002
196,-20.030062,-1.73566E-05,0.000002
196.5,-16.756248,-1.58974E-05,0.000001
197,-13.48243,-1.42214E-05,0.000002
197.5,-10.208598,-1.2289E-05,0.000002
198,-6.934766,-1.06364E-05,0.000002
198.5,-3.660945,-8.27972E-06,0.000003
199,-0.387132,-4.47786E-06,0.000004
199.5,2.886692,2.62005E-06,0.000005
200,6.160529,1.32751E-05,0.000007
200.5,9.434348,2.87086E-05,0.000016
201,12.708153,4.7296E-05,0.00002
201.5,15.982003,6.97716E-05,0.000027
202,19.255819,9.28578E-05,0.000022
202.5,22.529638,0.000115615,0.000026
203,25.803472,0.000138538,0.000017
203.5,29.077286,0.000158921,0.000024
204,32.351104,0.000175632,0.00001
204.5,35.624941,0.000191103,0.000022
205,38.898765,0.000204392,0.000021
205.5,42.172581,0.000218718,1E-06
206,45.446394,0.000233112,0.000011
206.5,48.720252,0.000248501,0.00002
207,51.994058,0.000262357,0.000014
207.5,55.267882,0.0002768,0.000023
208,58.541703,0.000291548,0.000011
208.5,61.815535,0.00030265,8E-06
209,65.089353,0.000309979,7E-06
209.5,68.335463,0.000314732,8E-06
210.5,-35.089166,-2.27692E-05,0.000006
211,-31.81535,-2.21585E-05,0
211.5,-28.541531,-2.12494E-05,0.000002
212,-25.267694,-2.00186E-05,1E-06
212.5,-21.993878,-1.84895E-05,0.000002
213,-18.720049,-1.68159E-05,0.000001
213.5,-15.446225,-1.50932E-05,0.000002
214,-12.172409,-1.33823E-05,0.000002
214.5,-8.898578,-1.17273E-05,0.000002
215,-5.624756,-1.00769E-05,0.000002
215.5,-2.350938,-7.331E-06,0.000003
216,0.922891,-2.80653E-06,0.000004
216.5,4.196723,5.62238E-06,0.000005
217,7.470536,1.83427E-05,0.000011
217.5,10.744371,3.51702E-05,0.000018
218,14.018169,5.5289E-05,0.000022
218.5,17.292018,7.83473E-05,0.000028
219,20.565842,0.000101711,0.000022
219.5,23.839664,0.000124492,0.000021
220,27.11349,0.000144841,0.00002
220.5,30.38729,0.000162755,0.00002
221,33.661146,0.000178646,0.000012
221.5,36.934949,0.000191744,0.000018
222,40.208778,0.000206825,0.00001
222.5,43.482604,0.000220378,0.000014
223,46.756423,0.000233559,0.000013
223.5,50.030262,0.000247368,0.00001
224,53.304076,0.000272427,0.000031
224.5,56.577899,0.000284065,-4E-06
225,59.851723,0.000283198,0.000017
225.5,63.125545,0.000272492,0.000014
226,66.399374,0.000254392,1.1E-05
226.5,25.87762,0.000231093,-0.000129
227.5,-33.779151,-2.30793E-05,0.000001
228,-30.505332,-2.21119E-05,0.000002
228.5,-27.231508,-2.07622E-05,0.000002
229,-23.957679,-1.93263E-05,0
229.5,-20.683858,-1.7662E-05,0.000003
230,-17.410034,-1.60536E-05,0.000001
230.5,-14.136213,-1.44545E-05,0.000002
231,-10.862381,-1.2655E-05,0.000001
231.5,-7.588565,-1.08695E-05,0.000003
232,-4.314736,-9.34732E-06,0.000002
232.5,-1.040928,-6.03263E-06,0.000004
233,2.232917,-1.58508E-07,0.000004
233.5,5.506736,1.02284E-05,0.000006
234,8.780557,2.469E-05,0.000013
234.5,12.054378,4.35431E-05,0.000023
235,15.32821,6.55874E-05,0.000024
235.5,18.602034,9.05524E-05,0.000028
236,21.875847,0.000114569,0.000021
236.5,25.149679,0.000135949,0.000023
237,28.42351,0.000154445,0.000019
237.5,31.697311,0.000171126,0.000018
238,34.971148,0.000186135,6E-06
238.5,38.244985,0.000199634,0.000016
239,41.518801,0.000214009,0.000017
239.5,44.792622,0.000227184,0.000015
240,48.06644,0.000239748,0.000012
240.5,51.340267,0.000253089,0.000011
241,54.614104,0.00026755,0.000021
241.5,57.887915,0.000282503,0
242,61.161744,0.000297065,0.000018
242.5,64.43557,0.00031024,0.000021
243,67.709384,0.000320914,0.00002
